Nom_Taxonomique;Noms_valides
CENTROSCYLLIUM FABRICII;Centroscyllium fabricii
CENTROSCYLLIUM SP.;Centroscyllium sp
CENTROSCYMNUS CREPIDATER;Centroselachus  crepidater
CEPHALACANTHUS VOLITANS;Cephalacanthus volitans
CEPHALOPHOLIS NIGRI;Cephalopholis nigri
CEPHALOPHOLIS TAENIOPS;Cephalopholis taeniops
CEPHALOPODE;Cephalopode
CEPHALOPODES;Cephalopodes
CEPHALOPOLIS TAENIOPS;Cephalopholis taeniops
CEPOLA MACROPHTHALMA;Cepola macrophthalma
CEPOLA PAUCIRADIATA;Cepola pauciradiata
CEPOLA SP;Cepola sp
CERATIAS HOLBOELI;Ceratias holboelli
CHACEON MARITAE;Chaceon maritae
CHAETODIPTERUS GOREENSIS;Ephippus goreensis
CHAETODIPTERUS LIPPEI;Chaetodipterus lippei
CHAETODIPTERUS SP;Chaetodipterus sp
CHAETODON ARCELLAE;Chaetodon marcellae
CHAETODON GOREENSIS;Chaetodon goreensis
CHAETODON HEOFLERI;Chaetodon heofleri
CHAETODON HOEFLERI;Chaetodon heofleri
CHAETODON MARCELLAAE;Chaetodon marcellae
CHAETODON MARCELLAE;Chaetodon marcellae
CHAETODON ROBUSTUS;Chaetodon robustus
CHAETODON SP;Chaetodon sp
CHAETODON SP.;Chaetodon sp
CHAETODON SPP.;Chaetodon sp
CHAROGNIA SP;Charognia sp
CHARONIA LAMPAS;Charonia lampas
CHARONIA NODIFERA;Charonia nodifera
CHARONIA SP;Charonia sp
CHARONIA SPP;Charonia sp
CHASCANOPSETTA LUGRIBUS;Chascanopsetta lugubris
CHASCANOPSETTA LUGUBRIS;Chascanopsetta lugubris
CHAUNAX PICTUS;Chaunax pictus
CHAUNAX SP.;Chaunax sp
CHELIDONICHTHYS GABONENSIS;Chelidonichthys gabonensis
CHELIDONICHTHYS GABONENSIS (JUVENILES);Chelidonichthys juveniles
CHELIDONICHTHYS LASTOVISA;Chelidonichthys lastovisa
CHELIDONICHTHYS LASTOVIZA;Chelidonichthys lastovisa
CHELIDONICHTHYS LUCERNA;Chelidonichthys lucerna
CHELIDONICHTHYS SP;Chelidonichthys sp
CHELIDONICHTYS LASTOVISA;Chelidonichthys lastovisa
CHELIDOPERCA AFRICANA;Chelidoperca africana
CHELIDOPERCA SP;Chelidoperca sp
CHILIOMYCTERUS RETCULATUS;Chilomycterus reticulatus
CHILOMICTERUS ANTENNATUS;Chilomycterus antennatus
CHILOMYCTERUS ANTENNATUS;Chilomycterus antennatus
CHILOMYCTERUS ANTENNAUS;Chilomycterus antennatus
